id,title,genre,original_language,overview,popularity,release_date,vote_average,vote_count
592350,My Hero Academia: Heroes Rising,"Animation,Action,Fantasy,Adventure",ja,"Class 1-A visits Nabu Island where they finally get to do some real hero work. The place is so peaceful that it's more like a vacation … until they're attacked by a villain with an unfathomable Quirk! His power is eerily familiar, and it looks like Shigaraki had a hand in the plan. But with All Might retired and citizens' lives on the line, there's no time for questions. Deku and his friends are the next generation of heroes, and they're the island's only hope.",224.617,2019-12-20,8.3,942
447362,Life in a Year,"Drama,Romance",en,"A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",114.889,2020-11-27,8.3,1105
575813,Better Days,Drama,zh,"A bullied teenage girl forms an unlikely friendship with a mysterious young man who protects her from her assailants, while she copes with the pressures of her final examinations.",17.871,2019-10-25,8.3,251
16672,Woman in the Dunes,"Drama,Thriller",ja,An entomologist suffers extreme psychological and sexual torture after being taken captive by the residents of a poor seaside village.,8.046,1964-02-15,8.3,292
42269,We All Loved Each Other So Much,"Drama,Comedy",it,"Three partisans bound by a strong friendship return home after the war, but the clash with everyday reality puts a strain on their bond.",6.594,1974-12-21,8.3,424
18148,Tokyo Story,Drama,ja,"The elderly Shukishi and his wife, Tomi, take the long journey from their small seaside village to visit their adult children in Tokyo. Their elder son, Koichi, a doctor, and their daughter, Shige, a hairdresser, don't have much time to spend with their aged parents, and so it falls to Noriko, the widow of their younger son who was killed in the war, to keep her in-laws company.",10.385,1953-11-03,8.3,769
10494,Perfect Blue,"Animation,Thriller",ja,A retired pop singer turned actress' sense of reality is shaken when she is stalked by an obsessed fan and seemingly a ghost of her past.,27.325,1997-07-25,8.3,1736
10376,The Legend of 1900,"Drama,Music,Romance",it,"The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 (Tim Roth) learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.",12.788,1998-10-28,8.3,1866
28,Apocalypse Now,"Drama,War",en,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",27.775,1979-08-15,8.3,6618
572154,Rascal Does Not Dream of a Dreaming Girl,"Animation,Comedy,Romance,Drama,Fantasy",ja,"In Fujisawa, Sakuta Azusagawa is in his second year of high school. Blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted by the appearance of his first crush, Shoko Makinohara.",92.432,2019-06-15,8.3,391
